Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Narue no Sekai,"Comedy,Romance,Sci-Fi",6080,4402,6.54,12,24 min. per ep.,TV ,Apr 2003 , Jun 2003,19926,,,,,,,,,,False
Umi ga Kikoeru,"Drama,Romance,Slice of Life",6069,1602,6.55,1,1 hr. 12 min.,TV Special ,May 1993 , May 1993,137774,,,,,,,,,,False
Wonder Beat Scramble,"Action,Sci-Fi",6070,11529,6.55,26,22 min. per ep.,TV ,Apr 1986 , Nov 1986,1533,,,,,,,,,,False
Toutotsu ni Egypt Shin,"Comedy,Fantasy,Slice of Life",6067,7091,6.55,10,5 min. per ep.,ONA ,Dec 2020 , Feb 2021,7991,,,,,,,,,,False
Tokkou,"Action,Comedy,Horror,Mystery,Supernatural",6065,2849,6.55,13,24 min. per ep.,TV ,Apr 2006 , Jul 2006,46534,,,,,,,,,,False
Tokyo ESP,"Action,Comedy,Sci-Fi,Supernatural",6066,1198,6.55,12,24 min. per ep.,TV ,Jul 2014 , Sep 2014,170154,7.44,3338.0,878.0,19997.0,77,"Feb  26, 2010 to Jul  26, 2016",['Shounen'],Shounen Ace,"Segawa, Hajime (Story & Art)",True
Takarajima Memorial: Yuunagi to Yobareta Otoko,"Adventure,Drama,Mystery,Supernatural",6064,10779,6.55,1,7 min.,OVA ,Dec 1992 , Dec 1992,1670,,,,,,,,,,False
Soushin Shoujo Matoi: Kabushiki Gaisha Knight Busters,,6063,8600,6.55,1,24 min.,Special ,Apr 2017 , Apr 2017,4069,,,,,,,,,,False
Shin Koihime†Musou: Live Revolution,,6061,7244,6.55,1,22 min.,OVA ,Mar 2010 , Mar 2010,5602,,,,,,,,,,False
Muumin (1972),"Adventure,Comedy,Fantasy,Slice of Life",6079,9378,6.54,52,25 min. per ep.,TV ,Jan 1972 , Dec 1972,2984,,,,,,,,,,False
Sakura Taisen: Ouka Kenran,"Adventure,Sci-Fi",6059,7107,6.55,4,30 min. per ep.,OVA ,Dec 1997 , Jul 1998,6768,,,,,,,,,,False
Sekai Meisaku Douwa: Wow! Maerchen Oukoku,,6060,12073,6.55,26,24 min. per ep.,TV ,Apr 1995 , Sep 1995,1394,,,,,,,,,,False
Transformers: Car Robots,"Adventure,Comedy,Sci-Fi",6068,7596,6.55,39,23 min. per ep.,TV ,Apr 2000 , Dec 2000,5492,,,,,,,,,,False
Yoza-Quar!,,6071,5786,6.55,6,1 min. per ep.,Special ,Dec 2013 , May 2014,9551,,,,,,,,,,False
Queen's Blade: Gyokuza wo Tsugu Mono,"Action,Adventure,Fantasy,Ecchi",6054,2635,6.55,12,24 min. per ep.,TV ,Sep 2009 , Dec 2009,55669,,,,,,,,,,False
