Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Densetsu no Yuusha no Densetsu,"Action,Adventure,Fantasy",1546,711,7.54,24,24 min. per ep.,TV ,Jul 2010 , Dec 2010,303673,7.87,1061.0,4506.0,4320.0,56,"Feb  25, 2002 to Oct  25, 2006",[],,"Kagami, Takaya (Story), Toyota, Saori (Art)",True
Candy Candy,"Drama,Slice of Life",1545,3655,7.54,115,25 min. per ep.,TV ,Oct 1976 , Feb 1979,32065,7.97,795.0,4293.0,4542.0,44,Mar  1975 to Feb  1979,['Shoujo'],Nakayoshi,"Igarashi, Yumiko (Art), Nagita, Keiko (Story)",True
Baka to Test to Shoukanjuu,"Comedy,Romance",1543,287,7.54,13,24 min. per ep.,TV ,Jan 2010 , Apr 2010,639468,7.9,982.0,2281.0,8525.0,143,"Jan  29, 2007 to Mar  30, 2015",[],,"Haga, Yui (Art), Inoue, Kenji (Story)",True
Hime-chan no Ribbon,"Comedy,Fantasy,Romance",1699,5996,7.49,61,24 min. per ep.,TV ,Oct 1992 , Dec 1993,10310,7.91,947.0,10067.0,1671.0,45,"Jul  3, 1990 to Dec  1, 1993",['Shoujo'],Ribon Magazine,"Mizusawa, Megumi (Story & Art)",True
Hellsing,"Action,Horror,Supernatural",1694,247,7.49,13,23 min. per ep.,TV ,Oct 2001 , Jan 2002,732746,8.29,309.0,145.0,93614.0,92,"Apr  30, 1997 to Sep  30, 2008",['Seinen'],Young King OURs,"Hirano, Kouta (Story & Art)",True
Hanbun no Tsuki ga Noboru Sora,"Comedy,Drama,Romance",1693,1791,7.49,6,24 min. per ep.,TV ,Jan 2006 , Feb 2006,101631,8.02,705.0,7411.0,2464.0,41,"Oct  10, 2003 to Aug  10, 2006",[],,"Hashimoto, Tsumugu (Story), Yamamoto, Keiji (Art)",True
Special A,"Comedy,Romance",1598,549,7.52,24,24 min. per ep.,TV ,Apr 2008 , Sep 2008,369110,7.91,943.0,397.0,41425.0,104,"Feb  26, 2003 to Mar  19, 2009",['Shoujo'],Hana to Yume,"Minami, Maki (Story & Art)",True
Angel Densetsu,"Action,Comedy",1748,3295,7.47,2,24 min. per ep.,OVA ,Dec 1996 , Dec 1996,40983,8.29,313.0,288.0,55228.0,89,"May  7, 1992 to Feb  5, 2000",['Shounen'],Shounen Jump (Monthly),"Yagi, Norihiro (Story & Art)",True
Akame ga Kill!,"Action,Fantasy",1747,28,7.47,24,23 min. per ep.,TV ,Jul 2014 , Dec 2014,2106053,7.83,1174.0,46.0,175546.0,80,"Apr  22, 2010 to Dec  22, 2016",['Shounen'],Gangan Joker,"Tashiro, Tetsuya (Art), Takahiro (Story)",True
Ajin,"Action,Horror,Mystery,Supernatural",1950,334,7.42,13,24 min. per ep.,TV ,Jan 2016 , Apr 2016,592814,7.98,774.0,86.0,130280.0,84,"Jul  6, 2012 to Feb  5, 2021",['Seinen'],good! Afternoon,"Sakurai, Gamon (Story & Art), Miura, Tsuina (Story)",True
Rozen Maiden,"Action,Comedy,Drama",1939,1007,7.42,12,24 min. per ep.,TV ,Oct 2004 , Dec 2004,206874,7.98,789.0,2217.0,8762.0,68,"Apr  17, 2008 to Jan  23, 2014",['Seinen'],Young Jump,PEACH‐PIT (Story & Art),True
Mitsuboshi Colors,"Comedy,Slice of Life",1935,1861,7.42,12,23 min. per ep.,TV ,Jan 2018 , Mar 2018,102232,7.63,2062.0,3742.0,5313.0,72,"Jul  26, 2014 to Jun  27, 2020",[],Dengeki Daioh,Katsuwo (Story & Art),True
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","Action,Fantasy",2149,279,7.37,13,23 min. per ep.,TV ,Jul 2020 , Sep 2020,810899,8.03,691.0,3464.0,5748.0,Unknown,"Mar  10, 2018 to ?",[],,"Shizuma, Yoshinori (Art), Shuu (Story)",True
Oruchuban Ebichu,"Comedy,Ecchi",2100,2722,7.38,24,8 min. per ep.,TV ,Aug 1999 , Oct 1999,53702,7.03,8222.0,15449.0,905.0,Unknown,Jul  1997 to Jan  2008,[],,"Itou, Risa (Story & Art)",True
Lodoss-tou Senki,"Action,Adventure,Fantasy,Supernatural",2147,2386,7.37,13,25 min. per ep.,OVA ,Jun 1990 , Nov 1991,78930,7.28,4952.0,13295.0,1132.0,37,"Apr  1, 1988 to Mar  1, 1993",[],,"Izubuchi, Yutaka (Art), Mizuno, Ryou (Story)",True
Futatsu no Spica,"Drama,Sci-Fi,Supernatural",2198,5611,7.36,20,25 min. per ep.,TV ,Nov 2003 , Mar 2004,11105,8.14,509.0,3242.0,6159.0,97,"Sep  5, 2001 to Aug  5, 2009",['Seinen'],Comic Flapper,"Yaginuma, Kou (Story & Art)",True
Hitorijime My Hero,"Boys Love,Drama,Romance,Slice of Life",2288,1297,7.34,12,24 min. per ep.,TV ,Jul 2017 , Sep 2017,171425,7.57,2387.0,1530.0,12601.0,Unknown,"May  28, 2011 to ?",[],gateau,"Arii, Memeco (Story & Art)",True
