Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3
Mushikaburi-hime,"Drama,Romance",/A,19908,,Unknown,Unknown,TV ,Oct 2022 , Dec 2022,73848,7.1,7266.0,4699.0,4123.0,Unknown,"Aug  28, 2018 to ?",['Josei'],Comic ZERO-SUM,"Kikuta, Yui (Art), Yui (Story)",True,Drama,Romance,
Akuyaku Reijou nanode Last Boss wo Kattemimashita,"Comedy,Fantasy,Romance",/A,6826,,Unknown,Unknown,TV ,Oct 2022 , Dec 2022,173950,7.52,2759.0,1239.0,15002.0,15,"Jun  26, 2018 to Aug  26, 2019",[],Comp Ace,"Nagase, Sarasa (Story), Yuzu, Anko (Art)",True,Comedy,Fantasy,Romance
Cool Doji Danshi,"Comedy,Slice of Life",/A,19532,,Unknown,Unknown,TV ,Oct 2022 , Mar 2023,94045,7.88,1044.0,2930.0,6778.0,Unknown,"Jun  22, 2019 to ?",[],,"Nata, Kokone (Story & Art)",True,Comedy,Slice of Life,
Sugar Apple Fairy Tale,"Adventure,Fantasy,Romance",/A,12365,,Unknown,Unknown,TV ,Jan 2023 , Mar 2023,115241,7.62,2092.0,9402.0,1821.0,Unknown,"Apr  1, 2010 to Feb  1, 2015",[],,"Aki (Art), Mikawa, Miri (Story)",True,Adventure,Fantasy,Romance
Helck,"Action,Fantasy",/A,19671,,Unknown,Unknown,TV ,Jul 2023 , Dec 2023,94636,8.19,436.0,438.0,38116.0,111,"May  5, 2014 to Dec  18, 2017",[],Ura Sunday,"Nanao, Nanaki (Story & Art)",True,Action,Fantasy,
Lv1 Maou to One Room Yuusha,"Comedy,Fantasy",/A,19828,,Unknown,Unknown,TV ,Jul 2023 , Sep 2023,72767,7.45,3309.0,6981.0,2645.0,Unknown,"Mar  1, 2019 to ?",[],Comic Fuz,toufu (Story & Art),True,Comedy,Fantasy,
Kuro no Shoukanshi,"Action,Fantasy",/A,19798,,Unknown,Unknown,TV ,Jul 2022 , Sep 2022,234585,7.25,5327.0,6237.0,3013.0,Unknown,"Jun  25, 2016 to ?",[],,"Kurogin (Art), Mayoidoufu (Story)",True,Action,Fantasy,
Kumichou Musume to Sewagakari,"Comedy,Slice of Life",/A,4727,,Unknown,Unknown,TV ,Jul 2022 , Sep 2022,223540,7.69,1733.0,2582.0,7643.0,Unknown,"Jun  5, 2018 to ?",[],Comic ELMO,Tsukiya (Story & Art),True,Comedy,Slice of Life,
Kimi wo Aishita Hitori no Boku e,"Romance,Sci-Fi",/A,11407,,1,Unknown,Movie ,Oct 2022 , Oct 2022,89700,7.48,3040.0,16915.0,782.0,11,"Jun  23, 2016",[],,"Yomoji, Otono (Story)",True,Romance,Sci-Fi,
Kaminaki Sekai no Kamisama Katsudou,"Action,Comedy,Fantasy,Ecchi",/A,19772,,Unknown,Unknown,TV ,Apr 2023 , Jul 2023,184178,7.08,7536.0,3643.0,5441.0,Unknown,"May  1, 2019 to ?",['Seinen'],Monthly Hero's,"Akashiro, Aoi (Story), Hangetsuban, Sonshou (Art)",True,Action,Comedy,Fantasy
Kakegurui Twin,"Drama,Mystery",/A,4780,,Unknown,Unknown,ONA ,Aug 2022 , Aug 2022,110794,7.86,1103.0,2071.0,9279.0,Unknown,"Sep  19, 2015 to ?",['Shounen'],Gangan Joker,"Kawamoto, Homura (Story), Saiki, Katsura (Art)",True,Drama,Mystery,
Kagami no Kojou,"Drama,Fantasy,Mystery",/A,19744,,1,Unknown,Movie ,Dec 2022 , Dec 2022,30346,8.09,597.0,15625.0,888.0,13,"May  11, 2017",[],,"Tsujimura, Mizuki (Story)",True,Drama,Fantasy,Mystery
Kage no Jitsuryokusha ni Naritakute!,"Action,Comedy,Fantasy",/A,3131,,Unknown,Unknown,TV ,Oct 2022 , Feb 2023,660103,8.44,186.0,812.0,21647.0,Unknown,"Nov  5, 2018 to ?",[],,"Touzai (Art), Aizawa, Daisuke (Story)",True,Action,Comedy,Fantasy
Fuuto Tantei,"Action,Drama,Mystery,Supernatural",/A,7063,,Unknown,Unknown,TV ,Aug 2022 , Oct 2022,68253,7.64,2000.0,9461.0,1806.0,Unknown,"Aug  7, 2017 to ?",['Seinen'],Big Comic Spirits,"Sanjou, Riku (Story), Satou, Masaki (Art)",True,Action,Drama,Mystery
Isekai Ojisan,"Comedy,Fantasy",/A,5181,,Unknown,Unknown,TV ,Jul 2022 , Mar 2023,358044,7.88,1042.0,942.0,18710.0,Unknown,"Jun  29, 2018 to ?",[],Web Comic Apanta,Hotondo Shindeiru (Story & Art),True,Comedy,Fantasy,
"Fuufu Ijou, Koibito Miman.","Comedy,Drama,Romance",/A,6795,,Unknown,Unknown,TV ,Oct 2022 , Dec 2022,315830,7.79,1331.0,338.0,46914.0,Unknown,"Mar  2, 2018 to ?",['Seinen'],Young Ace,"Kanamaru, Yuuki (Story & Art)",True,Comedy,Drama,Romance
Chainsaw Man,"Action,Adventure",/A,463,,Unknown,Unknown,TV ,Oct 2022 , Dec 2022,1552791,8.73,45.0,4.0,595803.0,Unknown,"Dec  3, 2018 to ?",['Shounen'],Shounen Jump+,"Fujimoto, Tatsuki (Story & Art)",True,Action,Adventure,
Boku ga Aishita Subete no Kimi e,"Romance,Sci-Fi",/A,10717,,1,Unknown,Movie ,Oct 2022 , Oct 2022,97225,7.46,3216.0,14136.0,1039.0,10,"Jun  23, 2016",[],,"Yomoji, Otono (Story)",True,Romance,Sci-Fi,
Boku ga Aishita Subete no Kimi e,"Romance,Sci-Fi",/A,10717,,1,Unknown,Movie ,Oct 2022 , Oct 2022,97225,7.46,3216.0,14136.0,1039.0,10,"Jun  23, 2016",[],,"Yomoji, Otono (Story)",True,Romance,Sci-Fi,
Bocchi the Rock!,"Comedy,Slice of Life",/A,6755,,Unknown,Unknown,TV ,Oct 2022 , Dec 2022,590200,8.31,289.0,1020.0,17508.0,Unknown,"Dec  19, 2017 to ?",[],Manga Time Kirara MAX,"Hamaji, Aki (Story & Art)",True,Comedy,Slice of Life,
4-nin wa Sorezore Uso wo Tsuku,"Comedy,Slice of Life",/A,19417,,Unknown,Unknown,TV ,Oct 2022 , Dec 2022,37474,7.06,7748.0,15286.0,921.0,34,"Apr  9, 2020 to Mar  9, 2023",['Shounen'],Bessatsu Shounen Magazine,"Kashihara, Madoka (Story & Art)",True,Comedy,Slice of Life,
Yofukashi no Uta,"Romance,Supernatural",/A,2181,,Unknown,Unknown,TV ,Jul 2022 , Sep 2022,600869,8.17,460.0,172.0,82877.0,Unknown,"Aug  28, 2019 to ?",['Shounen'],Shounen Sunday,Kotoyama (Story & Art),True,Romance,Supernatural,
Yoru wa Neko to Issho,"Comedy,Slice of Life",/A,20310,,Unknown,Unknown,TV ,Aug 2022 , Jan 2023,13977,7.38,3885.0,14310.0,1020.0,Unknown,"Oct  29, 2020 to ?",[],,Kyuru Z (Story & Art),True,Comedy,Slice of Life,
Under Ninja,"Action,Comedy,Drama,Slice of Life",/A,8576,,Unknown,Unknown,TV ,Oct 2023 , Dec 2023,65056,7.14,6736.0,3724.0,5335.0,Unknown,"Jul  23, 2018 to ?",['Seinen'],Young Magazine (Weekly),"Hanazawa, Kengo (Story & Art)",True,Action,Comedy,Drama
Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,"Comedy,Fantasy,Romance",/A,20197,,Unknown,Unknown,TV ,Jan 2023 , Mar 2023,92109,7.72,1623.0,2982.0,6670.0,Unknown,"Jun  5, 2019 to ?",['Shoujo'],B's-LOG Comic,"Sakaki, Rumiwo (Art), Enoshima, Suzu (Story)",True,Comedy,Fantasy,Romance
Soredemo Ayumu wa Yosetekuru,"Comedy,Slice of Life",/A,2970,,Unknown,Unknown,TV ,Jul 2022 , Sep 2022,165233,7.51,2839.0,478.0,34776.0,225,"Mar  6, 2019 to Nov  15, 2023",['Shounen'],Shounen Magazine (Weekly),"Yamamoto, Souichirou (Story & Art)",True,Comedy,Slice of Life,
Pluto,"Action,Mystery,Sci-Fi",/A,5601,,Unknown,Unknown,ONA ,Oct 2023 , Oct 2023,166718,8.63,80.0,103.0,117146.0,65,"Sep  9, 2003 to Apr  1, 2009",['Seinen'],Big Comic Original,"Urasawa, Naoki (Story & Art), Tezuka, Osamu (Story)",True,Action,Mystery,Sci-Fi
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,"Comedy,Romance",/A,19952,,Unknown,Unknown,TV ,Jan 2023 , Mar 2023,319358,8.49,147.0,984.0,17963.0,Unknown,"Jun  14, 2019 to ?",[],,"Kazutake, Hazano (Art), Hanekoto (Art), Saeki-san (Story)",True,Comedy,Romance,
Oniichan wa Oshimai!,"Comedy,Slice of Life",/A,19942,,Unknown,Unknown,TV ,Jan 2023 , Mar 2023,151528,7.78,1374.0,995.0,17810.0,Unknown,"Jun  27, 2018 to ?",[],,Nekotoufu (Story & Art),True,Comedy,Slice of Life,
Otonari ni Ginga,"Comedy,Romance",/A,19951,,Unknown,Unknown,TV ,Apr 2023 , Jun 2023,142887,7.44,3369.0,2148.0,9044.0,37,"Apr  7, 2020 to May  6, 2023",['Seinen'],good! Afternoon,"Amagakure, Gido (Story & Art)",True,Comedy,Romance,
Nozomanu Fushi no Boukensha,"Action,Adventure,Fantasy",/A,19936,,Unknown,Unknown,TV ,Jan 2024 , Mar 2024,136104,7.38,3906.0,1058.0,16985.0,Unknown,"Nov  24, 2017 to ?",[],Comic Gardo,"Nakasone, Haiji (Art), Okano, Yuu (Story)",True,Action,Adventure,Fantasy
"Natsu e no Tunnel, Sayonara no Deguchi","Drama,Mystery,Sci-Fi",/A,5844,,1,Unknown,Movie ,Sep 2022 , Sep 2022,156492,8.36,240.0,3966.0,5002.0,6,"Jul  18, 2019",[],,"Hachimoku, Mei (Story), Kukka (Art)",True,Drama,Mystery,Sci-Fi
Migi to Dali,"Comedy,Mystery",/A,19876,,Unknown,Unknown,TV ,Oct 2023 , Dec 2023,77082,7.85,1112.0,5101.0,3764.0,44,"Jul  15, 2017 to Nov  15, 2021",['Seinen'],Harta,"Sano, Nami (Story & Art)",True,Comedy,Mystery,
Niehime to Kemono no Ou,"Fantasy,Romance",/A,7351,,Unknown,Unknown,TV ,Apr 2023 , Sep 2023,75748,7.94,866.0,1252.0,14900.0,89,"Aug  5, 2015 to Oct  20, 2020",['Shoujo'],Hana to Yume,"Tomofuji, Yuu (Story & Art)",True,Fantasy,Romance,
Meitantei Conan: Hannin no Hanzawa-san,"Comedy,Mystery",/A,11572,,Unknown,Unknown,TV ,Oct 2022 , Dec 2022,13101,7.14,6731.0,13932.0,1061.0,Unknown,"May  25, 2017 to ?",['Shounen'],Shounen Sunday Super,"Kanba, Mayuko (Story & Art)",True,Comedy,Mystery,
Nanatsu no Maken ga Shihai suru,"Action,Fantasy",/A,19925,,Unknown,Unknown,TV ,Jul 2023 , Oct 2023,149334,7.61,2188.0,6696.0,2784.0,Unknown,"Sep  7, 2018 to ?",[],,"Uno, Bokuto (Story), Miyuki, Ruria (Art)",True,Action,Fantasy,
