PC1,PC2,Title,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genre_1,Genre_2,Genre_3
-2.674766306864413,0.45501441649184193,Hinako Note,6.77,4917.0,1773,107766,6.94,9458.0,9135.0,1886.0,Comedy,Slice of Life,
-1.354600582937968,1.0251951386446916,Ichiban Ushiro no Daimaou,6.78,4884.0,377,531483,7.14,6635.0,4540.0,4284.0,Action,Comedy,Fantasy
-2.388895356037013,0.4865187249282663,Chocotto Sister,6.77,4902.0,4174,21871,7.1,7161.0,5289.0,3624.0,Comedy,Drama,Romance
-1.1630251424414761,0.8128129176882144,Hagure Yuusha no Aesthetica,6.78,4880.0,487,430275,7.29,4806.0,6253.0,3002.0,Action,Fantasy,Ecchi
-3.4786201653739406,-0.13402687213682654,Venus Senki,6.78,4863.0,5055,16161,6.95,9356.0,15109.0,937.0,Action,Adventure,Sci-Fi
-2.8931888459174298,-0.4064347283464177,Pygmalio,6.78,4854.0,10735,2233,7.46,3187.0,13509.0,1106.0,Adventure,Fantasy,
-3.1083140066708066,0.022824534768578503,Mitsuami no Kamisama,6.78,4846.0,7888,5279,7.11,7083.0,9487.0,1800.0,Drama,Slice of Life,
-0.26727610540997987,0.7636601227407169,Vassalord.,6.79,4839.0,3353,35845,8.04,677.0,1137.0,15938.0,Action,Boys Love,Comedy
-2.509050142007555,-0.01543400646713765,Silent Möbius,6.79,4835.0,4970,16140,7.23,5491.0,11865.0,1324.0,Action,Comedy,Drama
-2.1020261439711505,0.07508558025976377,Ro-Kyu-Bu!,6.79,4833.0,2051,83001,7.25,5310.0,13277.0,1135.0,Comedy,Sports,Ecchi
-0.37082053568378165,1.0639774385524547,Loveless,6.79,4826.0,1388,141749,7.63,2025.0,622.0,27765.0,Action,Boys Love,Drama
-2.4707104906075505,-0.023259002720372016,Kaijin Kaihatsu-bu no Kuroitsu-san,6.79,4818.0,2970,58020,7.18,6206.0,14127.0,1040.0,Comedy,Fantasy,
-2.2534953958268065,0.054230912769812366,Chibi☆Devi!,6.8,4782.0,4599,21447,7.28,4987.0,10550.0,1566.0,Fantasy,Supernatural,
