Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
2012-08,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012-09,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2012-10,8,5,3,5,3,0,1,2,5,2,1,0,1,0,1,0,0,0
2012-12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-01,7,3,1,2,3,2,4,1,0,1,0,0,0,0,0,0,0,0
2013-03,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2013-04,7,4,2,6,5,2,3,1,2,0,1,0,0,0,0,0,0,0
2013-05,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-07,8,2,1,3,2,1,4,2,0,3,0,1,0,0,0,0,0,0
2013-10,5,5,4,5,6,1,4,3,1,0,1,0,1,0,0,0,0,0
2013-12,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2014-01,6,2,0,4,3,0,1,3,1,0,0,0,0,1,0,0,0,0
2014-03,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-04,9,7,2,5,4,3,3,1,4,2,2,0,0,2,0,0,0,0
2014-05,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,9,8,1,4,5,0,2,2,2,0,1,1,0,0,0,0,0,0
2014-08,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-09,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014-10,9,7,5,7,7,3,4,4,3,0,0,0,0,0,1,1,0,0
2014-12,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,3,4,1,6,5,0,0,1,0,0,1,0,0,1,0,0,0,0
2015-04,6,5,1,2,1,3,1,3,0,0,2,0,0,0,0,0,1,0
2015-07,8,5,2,5,6,5,4,1,0,1,3,1,0,0,0,0,1,0
2015-08,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-10,2,6,1,2,3,0,2,1,1,0,0,0,0,1,0,0,0,0
2015-12,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-01,5,6,2,2,3,2,3,0,3,1,0,1,1,0,0,0,1,0
2016-02,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2016-04,10,6,3,4,3,2,5,1,2,1,1,0,0,0,1,1,0,0
2016-06,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-07,8,5,5,2,2,2,5,2,2,0,0,0,0,0,0,0,1,0
2016-08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-09,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,3,3,3,2,2,1,4,1,1,1,2,0,1,0,0,0,0,0
2017-01,6,1,3,3,4,1,3,2,1,2,1,0,0,0,0,0,0,0
2017-02,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
