Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
2023-02,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03,6,3,0,3,4,2,2,1,0,1,0,0,0,0,0,0,0,0
2023-04,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2023-06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2023-12,2,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-03,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2024-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
