Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Sci-Fi,Supernatural,Mystery,Ecchi,Horror,Sports,Suspense,Girls Love,Gourmet,Boys Love,Avant Garde
2010-09,3,3,1,2,1,1,0,0,3,1,1,1,1,0,0,0,0,0
2010-10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-11,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010-12,2,2,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
2011-01,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2011-02,3,2,1,2,0,0,0,0,2,2,2,1,0,0,0,0,0,0
2011-03,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011-04,1,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0
2011-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011-06,1,3,1,1,0,0,0,0,2,2,0,1,0,0,0,0,1,0
2011-07,2,0,3,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0
2011-08,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011-09,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
2011-10,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-12,3,2,2,4,1,1,1,1,1,1,1,0,0,0,0,1,0,0
2012-01,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2012-02,2,0,1,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0
2012-03,7,3,1,2,2,2,2,1,0,0,2,0,0,0,0,0,0,0
2012-04,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-05,0,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
2012-06,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07,2,1,2,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2012-08,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-09,1,2,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2012-10,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
2012-11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013-02,2,4,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
2013-03,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2013-04,3,4,2,0,1,0,1,1,2,1,1,1,0,1,0,0,0,0
2013-05,1,2,2,1,1,2,1,0,2,1,0,0,0,0,0,0,0,0
2013-06,3,3,2,2,0,0,0,2,1,0,1,1,0,0,0,0,0,0
2013-07,4,4,2,3,1,0,2,2,3,0,1,1,0,0,1,0,1,0
2013-08,2,3,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0
2013-09,3,3,2,2,2,1,1,1,1,2,0,2,0,0,0,0,0,0
2013-10,1,2,2,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2013-11,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013-12,2,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2014-01,2,4,1,0,1,1,0,1,3,1,0,0,0,0,0,1,0,0
2014-02,3,1,2,4,0,0,1,1,1,0,0,0,0,0,0,1,0,0
2014-03,2,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014-04,4,2,0,2,1,0,1,1,2,1,0,0,0,0,0,0,0,0
2014-05,2,0,1,1,2,1,2,0,0,1,0,0,0,0,0,1,0,0
2014-06,4,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0
2014-07,1,1,2,1,1,0,0,1,0,2,0,2,0,0,0,0,0,0
2014-09,3,3,1,1,1,0,0,3,2,1,0,1,0,0,1,0,0,0
2014-10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,2,1,0,1,2,1,0,0,1,0,0,1,0,0,1,0,0,0
2014-12,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-01,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-02,2,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,6,2,2,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0
2015-04,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2015-06,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2015-07,2,3,0,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0
2015-08,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2015-09,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
