Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Genre_1,Genre_2,Genre_3,Anime_StartDate,Anime_EndDate,Manga_StartDate,Manga_EndDate
Buddy Go!,"Comedy,Romance",7727,6855,6.23,3,1 min. per ep.,Special ,6599,7.6,2201.0,3587.0,5531.0,58,"Sep  3, 2014 to May  1, 2018",['Shoujo'],Ribon Magazine,"Kurosaki, Minori (Story & Art)",True,Comedy,Romance,,2016-04-01,2016-04-01,2014-09-03,2018-05-01
Togainu no Chi,"Action,Boys Love,Sci-Fi",7673,1969,6.25,12,24 min. per ep.,TV ,89391,7.43,3428.0,4260.0,4583.0,Unknown,"Mar  2006 to Jul  1, 2013",['Shoujo'],Comic B's-LOG,"Chayamachi, Suguro (Art), Nitroplus (Story)",True,Action,Boys Love,Sci-Fi,2010-10-01,2010-12-01,2006-03-01,2013-07-01
Kyoukai no Rinne,"Comedy,Supernatural",7627,7099,6.26,1,30 sec.,TV ,88968,7.14,6705.0,2025.0,9428.0,398,"Apr  22, 2009 to Dec  13, 2017",['Shounen'],Shounen Sunday,"Takahashi, Rumiko (Story & Art)",True,Comedy,Supernatural,,2015-04-01,2015-09-01,2009-04-22,2017-12-13
Komori-san wa Kotowarenai!,"Comedy,Slice of Life",7653,2279,6.25,12,2 min. per ep.,TV ,77101,7.14,6628.0,3925.0,5046.0,Unknown,"Feb  27, 2012 to ?",[],Manga Time Original,Cool-kyou Shinja (Story & Art),True,Comedy,Slice of Life,,2015-10-01,2015-12-01,2012-02-27,Ongoing or Hiatus
Kujibiki♥Unbalance,"Comedy,Romance",7626,4945,6.26,12,23 min. per ep.,TV ,14458,6.99,8831.0,11458.0,1395.0,14,"Sep  25, 2006 to Dec  25, 2007",['Seinen'],Afternoon,"Kio, Shimoku (Story), Koume, Keito (Art)",True,Comedy,Romance,,2006-10-01,2006-12-01,2006-09-25,2007-12-25
Chocolat no Mahou,"Drama,Supernatural",7609,6170,6.26,13,13 min. per ep.,OVA ,9154,7.4,3693.0,7846.0,2298.0,Unknown,"Sep  3, 2008 to ?",['Shoujo'],Ciao DX,"Rino, Mizuho (Story & Art)",True,Drama,Supernatural,,2011-03-01,2013-01-01,2008-09-03,Ongoing or Hiatus
Tenshi Kinryouku,"Action,Drama,Romance,Supernatural",7458,2739,6.29,3,29 min. per ep.,OVA ,49980,7.9,970.0,677.0,25635.0,120,"Jul  5, 1994 to Oct  20, 2000",['Shoujo'],Hana to Yume,"Yuki, Kaori (Story & Art)",True,Action,Drama,Romance,2000-05-01,2000-08-01,1994-07-05,2000-10-20
Berserk,"Action,Adventure,Drama,Fantasy,Horror,Supernatural",7387,602,6.3,12,24 min. per ep.,TV ,366255,9.47,1.0,1.0,670559.0,Unknown,"Aug  25, 1989 to ?",['Seinen'],Young Animal,"Miura, Kentarou (Story & Art), Studio Gaga (Art)",True,Action,Adventure,Drama,2016-07-01,2016-09-01,1989-08-25,Ongoing or Hiatus
Angelique,"Drama,Fantasy,Romance,Sci-Fi",7384,6932,6.3,3,30 min. per ep.,OVA ,6863,6.92,9817.0,16900.0,784.0,59,"Nov  23, 1995 to Mar  24, 2003",['Shoujo'],Asuka,"Yura, Kairi (Story & Art)",True,Drama,Fantasy,Romance,2004-03-01,2005-03-01,1995-11-23,2003-03-24
Kuma Miko,"Comedy,Slice of Life",7338,2161,6.31,12,24 min. per ep.,TV ,76121,7.09,7292.0,8776.0,1986.0,Unknown,"Apr  5, 2013 to ?",['Seinen'],Comic Flapper,"Yoshimoto, Masume (Story & Art)",True,Comedy,Slice of Life,,2016-04-01,2016-06-01,2013-04-05,Ongoing or Hiatus
