Date,Comedy,Action,Drama,Romance,Fantasy,Adventure,Slice of Life,Supernatural,Sci-Fi,Mystery,Ecchi,Horror,Sports,Girls Love,Suspense,Boys Love,Gourmet,Avant Garde
2006-12,0,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
2007-01,2,3,3,5,0,1,0,1,0,0,0,0,2,1,0,0,0,0
2007-02,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
2007-03,1,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0
2007-04,2,3,1,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0
2007-05,3,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0
2007-06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2007-07,1,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2007-08,2,1,0,1,2,0,0,1,1,3,0,1,0,0,1,0,0,0
2007-09,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007-10,3,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2007-11,2,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-12,1,1,1,0,0,0,2,2,1,1,0,1,1,0,0,0,0,0
2008-01,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
2008-02,4,3,2,3,2,1,2,2,0,1,0,0,1,0,0,0,1,0
2008-03,2,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2008-04,2,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2008-05,1,2,3,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0
2008-06,3,2,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0
2008-07,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2008-08,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2008-09,1,2,1,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0
2008-10,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2008-11,3,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2008-12,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
2009-01,3,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
2009-02,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2009-03,1,1,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0
2009-04,6,6,0,2,3,3,1,2,2,0,1,0,0,0,0,0,0,0
2009-05,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2009-06,1,1,1,1,1,1,0,3,1,1,0,1,0,0,0,0,0,0
2009-07,3,3,1,1,1,0,1,1,2,1,0,1,0,0,0,0,0,0
2009-08,3,2,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0
2009-09,4,2,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
2009-10,1,3,2,0,0,0,1,2,2,1,0,1,1,0,0,1,0,0
2009-11,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2009-12,3,1,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0
2010-01,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
2010-02,2,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2010-03,3,1,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0
2010-04,2,3,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0
2010-05,2,2,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0
2010-06,3,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
2010-07,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-08,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2010-09,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10,3,1,1,4,0,0,0,2,1,1,0,0,0,1,0,0,0,0
2010-11,1,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2010-12,5,4,0,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0
2011-01,0,3,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2011-02,3,0,1,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0
2011-03,5,0,0,3,1,0,1,1,1,0,0,0,0,1,0,0,0,0
2011-04,2,1,1,2,3,1,3,0,1,0,0,0,0,0,0,0,0,0
2011-05,1,1,1,3,2,1,1,2,0,0,0,0,0,0,0,1,0,0
2011-06,5,2,3,2,1,0,2,0,1,0,0,0,0,0,1,0,0,0
2011-07,2,3,0,2,0,1,1,1,3,1,1,0,0,0,0,0,1,0
2011-08,4,1,1,2,1,2,3,0,0,0,1,0,0,0,0,0,0,0
2011-09,1,3,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
2011-10,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
