Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga
Initial D First Stage,"Action,Drama",230.0,624,8.31,26,25 min. per ep.,TV ,Apr 1998 , Dec 1998,389175,,,,,,,,,,False
Doupo Cangqiong: San Nian Zhi Yue,"Action,Fantasy",223.0,8425,8.32,13,24 min. per ep.,ONA ,Oct 2021 , Jan 2022,7535,,,,,,,,,,False
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy,Romance",300.0,130,8.23,13,24 min. per ep.,TV ,Apr 2015 , Jun 2015,1072179,,,,,,,,,,False
Major S1,"Comedy,Drama,Sports",297.0,1836,8.23,26,25 min. per ep.,TV ,Nov 2004 , May 2005,102347,,,,,,,,,,False
Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Romance",236.0,402,8.3,94,25 min. per ep.,TV ,Jan 1996 , Sep 1998,498765,8.56,104.0,139.0,96466.0,259,"Apr  12, 1994 to Sep  21, 1999",['Shounen'],Shounen Jump (Weekly),"Watsuki, Nobuhiro (Story & Art)",True
World Trigger 3rd Season,"Action,Sci-Fi,Supernatural",235.0,2026,8.31,14,23 min. per ep.,TV ,Oct 2021 , Jan 2022,119171,,,,,,,,,,False
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Fantasy,Slice of Life",400.0,1238,8.13,12,23 min. per ep.,TV ,Apr 2020 , Jun 2020,216041,,,,,,,,,,False
Ginga Eiyuu Densetsu Gaiden,"Action,Drama,Sci-Fi",399.0,4061,8.13,24,26 min. per ep.,OVA ,Feb 1998 , Sep 1998,24543,,,,,,,,,,False
Dragon Ball Super: Broly,"Action,Adventure,Fantasy",398.0,605,8.13,1,1 hr. 40 min.,Movie ,Dec 2018 , Dec 2018,410281,,,,,,,,,,False
SKET Dance,,299.0,938,8.23,77,24 min. per ep.,TV ,Apr 2011 , Sep 2012,226578,8.38,224.0,526.0,32085.0,288,"Jul  14, 2007 to Jul  8, 2013",['Shounen'],Shounen Jump (Weekly),"Shinohara, Kenta (Story & Art)",True
Fate/stay night: Unlimited Blade Works 2nd Season,"Action,Fantasy,Supernatural",225.0,185,8.32,13,24 min. per ep.,TV ,Apr 2015 , Jun 2015,859950,,,,,,,,,,False
Doukyuusei (Movie),"Boys Love,Romance,Slice of Life",227.0,852,8.31,1,1 hr.,Movie ,Feb 2016 , Feb 2016,272784,,,,,,,,,,False
Shoujo Kakumei Utena,"Comedy,Drama,Fantasy,Mystery",350.0,1021,8.18,39,23 min. per ep.,TV ,Apr 1997 , Dec 1997,223549,7.34,4257.0,16740.0,796.0,12,Nov  1997 to Jan  1998,['Shoujo'],,"Saitou, Chiho (Art), Ookouchi, Ichirou (Story)",True
Kaze Tachinu,"Drama,Romance",449.0,713,8.1,1,2 hr. 6 min.,Movie ,Jul 2013 , Jul 2013,344063,,,,,,,,,,False
Kanata no Astra,"Adventure,Mystery,Sci-Fi",448.0,758,8.1,12,28 min. per ep.,TV ,Jul 2019 , Sep 2019,309369,8.01,721.0,912.0,19296.0,49,"May  9, 2016 to Dec  30, 2017",['Shounen'],Shounen Jump+,"Shinohara, Kenta (Story & Art)",True
Haikyuu!! Movie 3: Sainou to Sense,,445.0,2244,8.1,1,1 hr. 29 min.,Movie ,Sep 2017 , Sep 2017,92158,,,,,,,,,,False
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,"Action,Drama,Sci-Fi",444.0,5163,8.1,12,25 min. per ep.,Movie ,Mar 2022 , May 2022,21689,,,,,,,,,,False
