Title,Genres,Anime_Rank,Anime_Popularity,Anime_Score,Episodes,Episode_length,Stream_type,Start date,End date,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Manga_Chapters,Manga_Published,Manga_Demographics,Manga_Serialization,Manga_Author,Manga,Cluster
Capeta,Other,849.0,3871,7.82,52,23 min. per ep.,TV ,Oct 2005 , Sep 2006,27963,8.16,473.0,4205.0,4684.0,119,"Feb  6, 2003 to Mar  6, 2013",['Shounen'],Shounen Magazine (Monthly),"Soda, Masahito (Story & Art)",True,1
Shiki,Horror,991.0,329,7.75,22,22 min. per ep.,TV ,Jul 2010 , Dec 2010,605635,7.94,873.0,859.0,20531.0,42,"Dec  2007 to Jun  3, 2011",['Shounen'],Jump SQ.,"Fujisaki, Ryuu (Art), Ono, Fuyumi (Story)",True,1
Shadows House,Slice of Life,990.0,1155,7.75,13,23 min. per ep.,TV ,Apr 2021 , Jul 2021,251548,8.37,233.0,427.0,38777.0,Unknown,"Sep  6, 2018 to ?",['Seinen'],Young Jump,Soumatou (Story & Art),True,1
Saint Seiya: Meiou Hades Meikai-hen,Action,989.0,2759,7.75,12,25 min. per ep.,OVA ,Dec 2005 , Feb 2007,51426,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
InuYasha: Kuroi Tessaiga,Adventure,984.0,3216,7.75,1,29 min.,Special ,Jul 2008 , Jul 2008,38068,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Junjou Romantica 2,Other,986.0,1145,7.75,12,24 min. per ep.,TV ,Oct 2008 , Dec 2008,181726,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Hibike! Euphonium Movie 3: Chikai no Finale,Other,983.0,2544,7.75,1,1 hr. 41 min.,Movie ,Apr 2019 , Apr 2019,72972,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Golden Time,Comedy,981.0,141,7.75,24,24 min. per ep.,TV ,Oct 2013 , Mar 2014,1050027,7.84,1168.0,3286.0,6092.0,45,"Sep  10, 2010 to Mar  8, 2014",[],,"Komatsu, E-ji (Art), Takemiya, Yuyuko (Story)",True,1
Gundam Build Fighters,Action,982.0,2224,7.75,25,25 min. per ep.,TV ,Oct 2013 , Mar 2014,76170,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Gakuen Babysitters Special,Other,979.0,3251,7.75,1,27 min.,Special ,Sep 2018 , Sep 2018,44340,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kuroko no Basket: Last Game NG-shuu,Comedy,987.0,3551,7.75,1,2 min.,Special ,Sep 2017 , Sep 2017,34804,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Shokugeki no Souma: Shin no Sara,Other,992.0,343,7.75,12,24 min. per ep.,TV ,Oct 2019 , Dec 2019,621947,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Claymore,Action,976.0,271,7.75,26,23 min. per ep.,TV ,Apr 2007 , Sep 2007,677518,8.29,310.0,38.0,195861.0,159,"May  6, 2001 to Oct  4, 2014",['Shounen'],Jump SQ.,"Yagi, Norihiro (Story & Art)",True,1
Crayon Shin-chan,Comedy,977.0,2147,7.75,Unknown,21 min.,TV ,Apr 1992 ,,85126,7.96,821.0,3549.0,5599.0,1126,Aug  1990 to Mar  2010,['Seinen'],Manga Action,"Usui, Yoshito (Story & Art)",True,1
Free! Take Your Marks,Other,978.0,2176,7.75,1,1 hr. 48 min.,Movie ,Oct 2017 , Oct 2017,84490,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Comedy,971.0,4650,7.76,373,25 min. per ep.,TV ,Jun 1996 , Dec 2004,19449,7.58,2319.0,6470.0,2897.0,1957,"Sep  21, 1976 to Sep  17, 2016",['Shounen'],Shounen Jump (Weekly),"Akimoto, Osamu (Story & Art)",True,1
Kyou kara Maou! 3rd Series,Adventure,972.0,3373,7.76,39,24 min. per ep.,TV ,Apr 2008 , Feb 2009,35392,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Little Witch Academia: Mahoujikake no Parade,Adventure,973.0,1207,7.76,1,53 min.,Movie ,Oct 2015 , Oct 2015,171867,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Go! Princess Precure,Action,980.0,4693,7.75,50,24 min. per ep.,TV ,Feb 2015 , Jan 2016,19320,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,Adventure,970.0,2569,7.76,1,29 min.,Movie ,Feb 2005 , Feb 2005,57806,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Doraemon (1979),Adventure,966.0,2555,7.76,1787,11 min. per ep.,TV ,Apr 1979 , Mar 2005,64534,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Jinrui wa Suitai Shimashita,Adventure,985.0,1085,7.75,12,23 min. per ep.,TV ,Jul 2012 , Sep 2012,191957,7.73,1580.0,7255.0,2526.0,22,"May  24, 2007 to Jun  18, 2014",[],,"Tobe, Sunaho (Art), Tanaka, Romeo (Story), Yamazaki, Toru (Art)",True,1
Charlotte,Other,975.0,64,7.75,13,24 min. per ep.,TV ,Jul 2015 , Sep 2015,1624203,7.76,1456.0,1738.0,11042.0,45,"Jul  30, 2015 to Dec  27, 2018",[],Dengeki G's Comic,"Maeda, Jun (Story), Chibimaru (Art), Tsurusaki, Yuu (Art)",True,1
Heike Monogatari,Other,969.0,2368,7.76,11,23 min. per ep.,TV ,Jan 2022 , Mar 2022,81544,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Aggressive Retsuko (ONA) 2nd Season,Comedy,974.0,1770,7.75,10,16 min. per ep.,ONA ,Jun 2019 , Jun 2019,118922,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
City Hunter '91,Action,964.0,4237,7.76,13,23 min. per ep.,TV ,Apr 1991 , Oct 1991,25168,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Star☆Twinkle Precure: Hoshi no Uta ni Omoi wo Komete,Action,960.0,8703,7.76,1,1 hr. 12 min.,Movie ,Oct 2019 , Oct 2019,4557,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
Toshokan Sensou: Kakumei no Tsubasa,Action,962.0,3987,7.76,1,1 hr. 45 min.,Movie ,Jun 2012 , Jun 2012,24636,8.141003584229392,1085.831541218638,2348.093189964158,63915.15053763441,,,,,,False,1
