Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members,Genres,Stream_type,Cluster
8.05,503.0,372,523383,7.65,1959.0,2317.0,8425.0,"Comedy,Sci-Fi",Movie ,0
8.04,514.0,1405,154680,8.41,203.0,2100.0,9196.0,"Action,Adventure,Fantasy,Supernatural",TV ,0
8.07,479.0,417,556321,8.68,57.0,51.0,169360.0,"Action,Comedy,Fantasy,Horror",TV ,3
8.07,488.0,706,305169,8.09,594.0,217.0,68873.0,"Action,Comedy",TV ,0
8.07,483.0,362,555906,8.07,622.0,3033.0,6577.0,"Drama,Mystery,Romance",TV ,0
8.08,473.0,311,663327,8.54,115.0,159.0,87566.0,"Comedy,Fantasy,Romance,Supernatural",TV ,3
8.08,471.0,1451,139976,8.12,530.0,357.0,45524.0,"Comedy,Supernatural",TV ,0
8.08,474.0,3082,41084,7.09,7297.0,16023.0,851.0,"Action,Mystery,Sci-Fi",OVA ,2
8.09,459.0,791,271854,8.56,105.0,151.0,90515.0,"Comedy,Drama,Romance",TV ,0
8.07,486.0,177,938461,8.34,259.0,152.0,90474.0,"Fantasy,Slice of Life",TV ,3
8.1,440.0,35,2036064,8.26,345.0,69.0,153667.0,"Action,Comedy",TV ,3
8.11,429.0,15,2410956,8.45,177.0,262.0,59231.0,"Comedy,Fantasy,Ecchi",TV ,3
8.09,453.0,737,296160,8.33,274.0,405.0,40649.0,"Comedy,Slice of Life",TV ,0
8.11,435.0,18,2219493,8.24,370.0,646.0,26776.0,"Drama,Romance",TV ,3
8.12,416.0,70,1479242,9.03,8.0,20.0,289528.0,"Action,Adventure,Drama,Fantasy",TV ,1
8.12,418.0,37,1982429,8.62,81.0,303.0,52016.0,"Adventure,Comedy,Fantasy",TV ,3
8.12,415.0,78,1414692,8.33,273.0,650.0,26640.0,"Action,Mystery,Supernatural",TV ,3
8.12,410.0,73,1687488,7.86,1075.0,33.0,213243.0,"Action,Comedy,Fantasy",TV ,3
8.12,420.0,919,241619,8.25,355.0,404.0,40746.0,"Comedy,Slice of Life",TV ,0
