MDS1,MDS2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
130034.7215208223,-758653.6692668366,Comedy,TV ,8.0,569.0,4870,16339,7.61,2153.0,19441.0,620.0
128630.09555007893,-737008.8379092606,Drama,TV ,8.0,564.0,3377,36475,8.34,265.0,1480.0,12970.0
-7672.615098207171,-183911.41502935337,Drama,TV ,8.0,562.0,322,606039,7.58,2350.0,5019.0,3839.0
93869.29806905707,-558711.9354883782,Comedy,TV ,8.0,561.0,1137,218133,7.94,867.0,881.0,19966.0
66659.11278957967,-466258.06113873975,Fantasy,TV ,8.01,554.0,849,314295,8.75,42.0,1359.0,13979.0
-186329.5209706354,612720.556489751,Drama,TV ,8.01,552.0,77,1422289,7.89,1010.0,1712.0,11276.0
19623.09594119333,186024.22647402223,Drama,TV ,8.0,573.0,168,960129,8.29,315.0,101.0,117237.0
-134374.46267342856,648302.0094832145,Comedy,TV ,8.02,539.0,82,1445285,8.77,39.0,214.0,69689.0
122491.55459628919,-747493.085692332,Action,TV ,8.03,526.0,3847,27794,8.11,557.0,4525.0,4293.0
-58569.983588856776,35459.58239340292,Action,OVA ,8.03,525.0,207,830753,7.74,1533.0,4201.0,4687.0
113090.03755880744,-62626.736016679984,Action,TV ,8.03,522.0,248,696414,8.28,325.0,64.0,156291.0
46941.53352044517,-180091.11040250957,Comedy,TV ,8.04,517.0,342,597199,8.33,269.0,249.0,62436.0
-193854.607261645,798407.8177647454,Action,TV ,8.02,536.0,74,1604968,7.95,850.0,349.0,46157.0
55313.21767432375,93997.15530660276,Action,TV ,8.03,518.0,195,862406,8.82,29.0,82.0,132140.0
82225.2666236958,-593567.8037838191,Other,ONA ,8.04,512.0,1128,186851,7.27,5020.0,7928.0,2266.0
14517.934489646252,-263757.52231192234,Comedy,Movie ,8.05,503.0,372,523383,7.65,1959.0,2317.0,8425.0
96693.25543547599,-623133.5813758441,Action,TV ,8.04,514.0,1405,154680,8.41,203.0,2100.0,9196.0
156860.41677974357,-195809.45401776093,Action,TV ,8.07,479.0,417,556321,8.68,57.0,51.0,169360.0
