MDS1,MDS2,Cluster
113904.96233936159,-648986.3001108919,3
30371.265248115636,-81980.30401215768,3
25208.68591725314,-347751.37460276624,2
4596.368491837155,-245146.20741676365,3
-241291.76493980002,1292581.8683997737,3
30486.50056586107,-350849.9553884436,3
76994.76262958668,-547174.3750793952,3
-34942.77594847593,354218.10876506957,3
65376.97195142122,-379546.4552353095,3
97048.38592513965,-83171.50951610891,3
111297.66845419076,-577024.63289126,3
-20435.601209279535,88405.27846362464,3
-144510.1200947352,445421.21285312594,3
-69695.26463248846,82416.24289712403,3
-743961.4486142747,3165223.634494616,1
-212987.7364001413,2306790.2486394993,1
-90620.33543359928,181017.50502070843,3
18802.604114546677,-332484.8193967671,2
-37003.55714823902,28627.014286834656,3
-869667.8799494075,3046101.194794698,1
-4729.934030252725,259578.55521096676,3
-230238.3883752343,809590.2914870307,3
147873.18241364768,1687567.3385879179,1
-257674.15157464828,984955.563597604,3
13106.36417852852,58614.19945068788,3
-39000.955937463455,620018.1630345306,3
-13879.733303334979,-135549.0020359116,3
-308918.418562192,1415136.3045182063,3
-6089.224105440457,-113002.6076095348,3
-460887.8536909109,1930563.248613919,3
-287016.91587019194,1062322.9791872401,2
96503.11758386645,387028.25198462215,3
51710.9876363885,837514.4354146053,1
-444723.3533308358,1745416.4435827576,3
