PC1,PC2,Genres,Stream_type,Anime_Score,Anime_Rank,Anime_Popularity,Anime_Members,Manga_Score,Manga_Rank,Manga_Popularity,Manga_Members
-0.4839245334008128,0.9082037540418754,Action,TV ,8.04,514.0,1405,154680,8.41,203.0,2100.0,9196.0
1.1601360294764667,1.1338467912426615,Action,TV ,8.07,479.0,417,556321,8.68,57.0,51.0,169360.0
-0.08248705003560403,0.6153310175588848,Action,TV ,8.07,488.0,706,305169,8.09,594.0,217.0,68873.0
-0.30582254340590637,0.12299114387701532,Drama,TV ,8.07,483.0,362,555906,8.07,622.0,3033.0,6577.0
0.8410632250113885,0.8700755078288746,Comedy,TV ,8.08,473.0,311,663327,8.54,115.0,159.0,87566.0
-0.4596385366103611,0.7209408415761677,Comedy,TV ,8.08,471.0,1451,139976,8.12,530.0,357.0,45524.0
-4.897457909808609,-3.0047045628324165,Action,OVA ,8.08,474.0,3082,41084,7.09,7297.0,16023.0,851.0
0.5203060259983373,1.0105624011391956,Comedy,TV ,8.09,459.0,791,271854,8.56,105.0,151.0,90515.0
0.8139263755229712,0.6627523904924526,Fantasy,TV ,8.07,486.0,177,938461,8.34,259.0,152.0,90474.0
1.672191256289126,0.25957026460506044,Action,TV ,8.1,440.0,35,2036064,8.26,345.0,69.0,153667.0
1.7551039027343733,0.19435612702384159,Comedy,TV ,8.11,429.0,15,2410956,8.45,177.0,262.0,59231.0
0.12520800772822424,0.7183656418246164,Comedy,TV ,8.09,453.0,737,296160,8.33,274.0,405.0,40649.0
1.2744720504812947,-0.00952267846737409,Drama,TV ,8.11,435.0,18,2219493,8.24,370.0,646.0,26776.0
2.642158782312532,1.0416491081976602,Action,TV ,8.12,416.0,70,1479242,9.03,8.0,20.0,289528.0
1.684372625889842,0.38259956050698035,Adventure,TV ,8.12,418.0,37,1982429,8.62,81.0,303.0,52016.0
0.9588949876946228,0.21044023361558242,Action,TV ,8.12,415.0,78,1414692,8.33,273.0,650.0,26640.0
1.2405933806189962,-0.12572622507978465,Action,TV ,8.12,410.0,73,1687488,7.86,1075.0,33.0,213243.0
0.0156389071715157,0.5782521696175034,Comedy,TV ,8.12,420.0,919,241619,8.25,355.0,404.0,40746.0
1.2375855402098745,0.3446614185296352,Action,TV ,8.13,405.0,89,1463626,8.5,141.0,441.0,37902.0
-2.4340531065784425,-2.8204009549545885,Drama,Movie ,8.14,386.0,214,796663,7.09,7347.0,5842.0,3235.0
0.48322568701069424,0.5648256602323761,Mystery,TV ,8.14,388.0,598,435087,8.46,168.0,494.0,34127.0
-2.8004221491249344,-2.4115612870355756,Action,TV ,8.15,384.0,972,220267,7.21,5817.0,8398.0,2108.0
-3.690583452971815,-3.4674175323813743,Drama,TV ,8.15,377.0,864,252030,6.93,9618.0,7560.0,2401.0
0.5881960577632469,0.4780569541568704,Adventure,TV ,8.15,374.0,468,441907,8.37,237.0,246.0,62635.0
1.4789619573163575,0.6433052965681373,Action,Movie ,8.16,366.0,212,861608,8.68,56.0,89.0,129171.0
1.4731707715786082,0.4190108391159053,Comedy,TV ,8.16,363.0,117,1133797,8.5,140.0,92.0,125957.0
0.8900464576212862,0.6919063549818237,Adventure,TV ,8.19,346.0,679,349585,8.71,48.0,231.0,65569.0
0.8475681557936942,0.44585446755870517,Drama,TV ,8.2,331.0,437,465415,8.57,100.0,364.0,44808.0
1.2627464200929865,0.38175737100071144,Comedy,TV ,8.2,328.0,308,625188,8.38,225.0,48.0,172128.0
-1.5116507703067519,-2.4954314535539623,Action,TV ,8.19,337.0,126,1078746,7.51,2848.0,13453.0,1113.0
-0.6237709476795431,0.3599159185008506,Comedy,TV ,8.2,324.0,2346,74299,8.16,471.0,1040.0,17333.0
0.44200347258982486,0.3503431230469846,Comedy,TV ,8.19,336.0,669,338626,8.36,242.0,422.0,39130.0
2.3835288426449908,0.33284027709795405,Comedy,TV ,8.21,314.0,115,1402718,8.43,191.0,16.0,331533.0
0.03926814404623584,-0.6783193678637501,Action,TV ,8.22,305.0,240,769979,7.72,1601.0,454.0,36930.0
-1.9668122155507575,-2.247756580275993,Drama,Movie ,8.22,302.0,645,368915,7.33,4444.0,7481.0,2434.0
-0.7780377184375877,-1.9693290471264895,Action,TV ,8.23,289.0,119,1239456,7.3,4709.0,1123.0,16071.0
1.3440118957792375,0.3774912172783397,Action,TV ,8.24,287.0,345,791363,8.81,33.0,432.0,38399.0
2.338664475637748,0.007934651380053215,Drama,TV ,8.25,275.0,23,2213866,8.79,35.0,221.0,67351.0
-1.6376645411232529,-2.5046013329205628,Action,TV ,8.26,268.0,340,671969,7.3,4767.0,6688.0,2787.0
0.46277453338264596,0.07943977462799644,Drama,TV ,8.27,262.0,866,256300,8.27,337.0,295.0,53195.0
-1.77257939273917,-2.648122114368106,Adventure,Movie ,8.27,263.0,432,494090,7.62,2141.0,16428.0,817.0
1.5315601925619302,0.3880176604870381,Adventure,TV ,8.24,282.0,197,825330,8.82,31.0,244.0,62836.0
0.9476915002985733,-0.9122730428557887,Comedy,TV ,8.28,252.0,57,1755327,7.88,1028.0,703.0,24798.0
0.4022855959949239,0.3476627862675419,Other,TV ,8.28,251.0,1544,199558,8.53,122.0,499.0,33894.0
0.47312669804922614,-0.1308660174264402,Mystery,TV ,8.32,218.0,1325,541464,8.22,390.0,344.0,46486.0
-1.3653282562709257,-2.1232029423899395,Adventure,Movie ,8.28,255.0,490,427955,7.63,2048.0,11631.0,1365.0
0.9105652926668412,0.0013461281381437567,Drama,TV ,8.32,217.0,542,388967,8.52,129.0,577.0,29512.0
0.5724983073595681,-0.730171511342713,Comedy,TV ,8.32,216.0,245,752658,8.3,293.0,4325.0,4503.0
0.12324971811465389,-1.306328634217476,Drama,Movie ,8.32,219.0,171,1012751,7.73,1575.0,2649.0,7496.0
-0.008398728260058734,0.04818407729173028,Drama,TV ,8.33,213.0,1967,100057,8.34,263.0,1077.0,16766.0
1.2775900612219246,-0.7730468254407113,Drama,TV ,8.33,207.0,56,1616120,8.17,447.0,1216.0,15179.0
1.6746903874902768,-0.3449553706766071,Mystery,TV ,8.34,204.0,79,1408208,8.51,135.0,465.0,35957.0
0.8478545371915056,-0.33115256766345563,Action,TV ,8.33,208.0,349,565434,8.53,120.0,2663.0,7460.0
1.259115809428341,0.07707451898462866,Drama,TV ,8.32,214.0,371,544732,8.66,66.0,377.0,43290.0
0.6853670032643878,-0.03563265172334883,Comedy,TV ,8.27,264.0,441,497920,8.39,217.0,998.0,17768.0
1.4906609981038057,-0.40410877420074903,Adventure,TV ,8.39,174.0,232,879906,8.32,277.0,131.0,100952.0
1.7872561908650346,0.03420182262941467,Drama,TV ,8.39,172.0,276,683773,8.88,22.0,228.0,65925.0
1.3821220413123012,-0.7316285921631752,Romance,TV ,8.39,170.0,242,1078155,8.0,746.0,74.0,146111.0
2.3276163101142093,0.14755312556623634,Action,TV ,8.4,165.0,344,597191,8.74,43.0,23.0,265723.0
1.3712601229344765,-0.39150097230769537,Action,TV ,8.38,176.0,162,910840,8.52,127.0,914.0,19268.0
-2.068298940252203,-3.248029049828286,Drama,TV ,8.41,160.0,757,304128,7.29,4817.0,10793.0,1518.0
1.4882746224623529,-0.29403827206225225,Action,ONA ,8.41,158.0,574,512692,8.25,359.0,36.0,198917.0
2.1452503914332923,-0.11128412429308727,Drama,TV ,8.37,184.0,134,1346200,8.81,32.0,183.0,80812.0
0.4652823432756497,-0.08088350839955243,Drama,TV ,8.4,162.0,1560,125458,8.48,154.0,851.0,20823.0
1.223369346114626,-0.6682922160716976,Action,TV ,8.45,141.0,283,696460,8.2,420.0,219.0,68529.0
-1.0175440871239183,-2.3776004594690034,Drama,Movie ,8.41,155.0,522,439094,7.58,2357.0,9299.0,1845.0
-0.02352064588817869,-1.6424875734047504,Action,TV ,8.45,139.0,434,543767,7.94,881.0,6727.0,2768.0
2.7034154273317115,-0.6913903064403608,Action,TV ,8.48,124.0,36,2097080,8.61,87.0,109.0,113777.0
0.25473579951272507,-1.1686123890922357,Drama,Movie ,8.46,133.0,673,434913,8.04,669.0,3679.0,5404.0
0.6398127571045974,-0.599191047079409,Action,ONA ,8.47,128.0,1010,233411,8.59,95.0,3753.0,5292.0
2.101471814052181,-0.545342698794905,Action,TV ,8.5,121.0,131,1136336,8.57,98.0,133.0,100814.0
1.2036027170718564,-0.4766674223856577,Drama,TV ,8.49,122.0,519,398912,8.48,155.0,496.0,33990.0
2.1447741213534544,-0.2428132519246977,Drama,TV ,8.51,113.0,327,680027,8.79,34.0,78.0,135897.0
1.2008858288059374,-0.16428192210709575,Comedy,TV ,8.51,115.0,1099,196125,8.77,40.0,486.0,34407.0
1.815687514535343,-0.5368019326519704,Action,TV ,8.51,111.0,222,873975,8.61,84.0,289.0,54795.0
0.054774049569717896,-2.388597697272198,Action,TV ,8.5,116.0,99,1249760,7.42,3514.0,1361.0,13939.0
0.9280290886757171,-1.3572695268255122,Drama,TV ,8.52,107.0,188,879014,8.22,404.0,4164.0,4740.0
5.613977862294374,-0.7658876020014197,Action,TV ,8.53,104.0,1,3980987,8.55,112.0,2.0,646733.0
4.038609981026244,-1.1226310198892975,Action,TV ,8.55,91.0,9,3068804,8.21,405.0,10.0,428369.0
1.633133915061612,-0.9838094802195729,Drama,Movie ,8.57,89.0,187,979853,8.66,64.0,2880.0,6886.0
-1.4839856646588807,-3.7189563805769006,Comedy,TV ,8.58,84.0,472,455297,7.57,2440.0,17819.0,716.0
1.4925301428241184,-1.029949765526824,Fantasy,Movie ,8.59,76.0,203,819355,8.33,275.0,718.0,24176.0
4.954657360910575,-1.096727253336616,Other,TV ,8.62,74.0,2,3935452,8.69,51.0,13.0,389108.0
1.7811163963498318,-1.0680123968292499,Action,TV ,8.58,80.0,160,1037307,8.17,457.0,115.0,109593.0
1.4876558839230765,-1.802573485745803,Action,TV ,8.64,68.0,59,1624106,7.95,844.0,1402.0,13547.0
5.383580469364322,-0.22539622139346413,Action,TV ,8.64,67.0,26,2385470,9.22,4.0,3.0,603122.0
2.4964120385971045,-1.1812316211343843,Drama,TV ,8.67,58.0,51,1801213,8.63,77.0,647.0,26762.0
2.2530986488078084,-0.778224821639709,Adventure,TV ,8.67,56.0,201,837459,8.72,47.0,179.0,81657.0
2.9217410599494875,-0.8224459300367888,Adventure,TV ,8.68,53.0,94,1396229,8.77,37.0,62.0,156837.0
0.7375536013854176,-1.6535064816063758,Adventure,TV ,8.65,66.0,460,654412,7.94,879.0,2259.0,8621.0
2.9193836574032352,-1.2172705831531567,Drama,TV ,8.67,57.0,21,2231890,8.59,94.0,189.0,78710.0
2.1925863450901724,-0.94487267067309,Comedy,TV ,8.78,35.0,273,674564,8.9,18.0,781.0,22415.0
3.2966482159683195,-1.8858508581177331,Drama,Movie ,8.87,24.0,11,2768297,8.39,219.0,161.0,86632.0
-0.024518622356026788,-3.9844058982252424,Action,TV ,8.76,37.0,42,1883277,7.15,6493.0,1082.0,16725.0
3.59044655820739,-0.7121841340633354,Drama,TV ,8.83,27.0,155,1138519,9.15,5.0,29.0,238291.0
3.7548700174188356,-1.6301079642217011,Action,TV ,9.08,2.0,255,1587143,8.55,110.0,18.0,296164.0
3.2101347035287198,-2.339879443327157,Drama,TV ,9.08,4.0,13,2584616,8.52,131.0,1540.0,12585.0
